Date,Open,High,Low,Close,Adj Close,Volume
2023-02-01,196.910004,238.880005,196.110001,232.160004,232.057053,1039347900
2023-03-01,231.919998,278.339996,222.970001,277.769989,277.646790,1126373100
2023-04-01,275.089996,281.100006,262.200012,277.489990,277.414032,743592100
2023-05-01,278.399994,419.380005,272.399994,378.339996,378.236420,1169636000
2023-06-01,384.890015,439.899994,373.559998,423.019989,422.904205,1052209200
2023-07-01,425.170013,480.880005,413.459991,467.290009,467.210449,870489500
2023-08-01,464.600006,502.660004,403.109985,493.549988,493.465942,1363143600
2023-09-01,497.619995,498.000000,409.799988,434.989990,434.915924,857510100
2023-10-01,440.299988,476.089996,392.299988,407.799988,407.764130,1013917700
2023-11-01,408.839996,505.480011,408.690002,467.700012,467.658905,914386300
2023-12-01,465.250000,504.329987,450.100006,495.220001,495.176453,740951700
2024-01-01,492.440002,634.929993,473.200012,615.270020,615.270020,970214600
2024-02-01,621.000000,622.799988,616.500000,621.476624,621.476624,9132208
